institutionCode,catalogNumber,otherIdentifier,otherNumber,month,year,binomial,Freshly_killed,massing,totalLength,tailLength,headbodyLength,sex,ageClass,reproductivelyActive,Liver_mass,Cecum_full_mass,Cecum_length,Cecum_curved_length,Cecum_empty_mass,Cecum_dry_mass,Stomach_full_mass,Stomach_length,Stomach_curved_length,Stomach_empty_mass,Stomach_dry_mass,LI_full_mass,LI_length,LI_empty_mass,LI_dry_mass,SI_full_mass,SI_length,SI_empty_mass,SI_dry_mass,Intestine_full_mass (shrew/mole only),Intestine_length (shrew/mole only),Intestine_empty_mass (shrew/mole only),Intestine_dry_mass (shrew/mole only),Total_GI_length ,Total_GI_length_scaled
UNCG,170,,,February,2022,Peromyscus maniculatus ,No ,15.75,169,85,84,Female,adult,No,0.5629,0.7292,32,42,0.1485,0.02,0.3015,23,33,0.2492,0.0514,0.3901,114,0.2038,0.0348,0.9342,347,0.3144,0.0487,,,,,536,6.380952381
UNCG,171,,,February,2022,Peromyscus maniculatus ,No ,15.75,161,81,80,Male,adult,No,0.5259,0.4135,32,37,0.1111,0.0145,0.3505,24,33,0.2474,0.0516,0.1998,79,0.0816,0.0161,0.8855,307,0.2096,0.0374,,,,,456,5.7
UNCG,172,,,February,2022,Peromyscus maniculatus ,No ,13.25,158,81,77,Male,adult,No,0.4078,0.6856,31,37,0.0673,0.0078,0.2898,24,29,0.1903,0.0358,0.1699,89,0.0714,0.0109,0.8093,322,0.2574,0.0488,,,,,477,6.194805195
UNCG,178,,,March,2022,Peromyscus maniculatus ,No ,16,149,77,72,Male,adult,No,0.6594,0.6145,33,41,0.1229,0.014,0.3461,23,33,0.2321,0.0486,0.2451,89,0.1138,0.0164,1.0215,359,0.3013,0.0459,,,,,522,7.25
UNCG,179,,,March,2022,Peromyscus maniculatus ,No ,16.5,180,101,79,Female,adult,No,0.5928,0.7753,32,40,0.1986,0.0248,0.3914,23,30,0.3085,0.0615,0.3003,80,0.1414,0.0207,1.1356,323,0.3517,0.0553,,,,,473,5.987341772
UNCG,180,,,March,2022,Peromyscus maniculatus ,No ,15,170,92,78,Female,adult,No,0.5231,0.3868,29,37,0.1372,0.0181,0.3423,25,32,0.2529,0.0491,0.1821,64,0.0944,0.0153,0.7791,297,0.2441,0.0399,,,,,430,5.512820513
UNCG,181,,,March,2022,Peromyscus maniculatus ,No ,14,152,81,71,Male,adult,No,0.4422,0.7044,29,38,0.117,0.0196,0.2926,19,31,0.181,0.0397,0.1951,62,0.0964,0.0153,0.8112,295,0.2348,0.0366,,,,,426,6
UNCG,182,,,March,2022,Peromyscus maniculatus ,No ,23.25,161,89,72,Female,adult,Yes,0.9931,0.6054,33,40,0.1331,0.0185,0.3348,26,32,0.243,0.0531,0.2037,87,0.0975,0.0176,1.2295,345,0.4582,0.0734,,,,,504,7
UNCG,183,,,March,2022,Peromyscus maniculatus ,No ,13,154,78,76,Female,adult,No,0.4093,0.4668,30,34,0.1287,0.0213,0.2723,22,30,0.2038,0.0407,0.2543,63,0.0971,0.0149,0.8642,259,0.2067,0.0345,,,,,386,5.078947368
UNCG,184,,,March,2022,Peromyscus maniculatus ,No ,18.25,165,88,77,Male,adult,Yes,0.606,0.5831,29,35,0.1409,0.0205,0.3536,25,34,0.2332,0.0492,0.2226,72,0.1045,0.0188,1.1296,276,0.1766,0.024,,,,,417,5.415584416
UNCG,185,,,March,2022,Peromyscus maniculatus ,No ,16.5,179,92,87,Female,adult,No,0.6678,0.9045,38,42,0.0985,0.0139,0.3526,25,33,0.2482,0.0531,0.1848,70,0.1089,0.0211,1.4752,370,0.2473,0.0442,,,,,515,5.91954023
UNCG,186,,,March,2022,Sorex cinereus,No ,3.75,102,44,58,Male,adult,No,0.1214,,,,,,0.0417,9,,0.0229,0.0039,,,,,,,,,0.285,68,0.1193,0.0116,,
UNCG,187,,,March,2022,Peromyscus leucopus ,No ,20.25,153,72,81,Female,adult,No,0.8313,0.7713,44,59,0.1762,0.0198,0.4939,28,35,0.3247,0.0572,0.3705,100,0.2204,0.0353,1.0834,334,0.2755,0.0509,,,,,528,6.518518519
UNCG,188,,,March,2022,Peromyscus leucopus ,No ,23.5,142,60,82,Male,adult,Yes,0.9468,0.8968,41,45,0.1487,0.0213,0.5651,28,36,0.3185,0.0669,0.3946,88,0.1354,0.024,1.0524,297,0.2912,0.0601,,,,,466,5.682926829
UNCG,189,,,April,2022,Blarina brevicauda,No ,12,104,23,81,Male,adult,No,0.7136,,,,,,0.2687,17,24,0.0664,0.0101,,,,,,,,,1.3111,335,0.2949,0.014,359,4.432098765
UNCG,190,,,April,2022,Peromyscus maniculatus ,No ,15.25,170,87,83,Female,adult,No,0.624,0.5666,31,39,0.1075,0.0132,0.3111,26,37,0.2634,0.0561,0.2387,97,0.1299,0.0245,1.1187,324,0.4241,0.0756,,,,,497,5.987951807
UNCG,191,,,April,2022,Peromyscus maniculatus ,No ,15.25,162,82,80,Female,adult,No,0.68,0.6893,30,40,0.1449,0.0216,0.286,24,35,0.2383,0.0474,0.2196,100,0.1079,0.0196,,271,0.2895,0.0444,,,,,446,5.575
UNCG,192,,,April,2022,Peromyscus maniculatus ,No ,16.75,168,83,85,Male,adult,Yes,0.5794,0.654,35,40,0.1084,0.0171,0.3582,25,31,0.2555,0.0527,0.1627,91,0.0929,0.0182,0.9286,243,0.3245,0.05,,,,,405,4.764705882
UNCG,193,,,April,2022,Peromyscus maniculatus ,No ,17.5,181,100,81,Male,adult,No,0.5601,0.7154,28,36,0.1395,0.0201,0.4126,25,32,0.2899,0.0637,0.1907,81,0.0978,0.0182,1.1175,337,0.3828,0.0655,,,,,486,6
UNCG,194,,,April,2022,Peromyscus maniculatus ,No ,19.25,186,91,95,Female,adult,No,1.0762,0.7453,41,46,0.143,0.0198,0.3998,26,33,0.3159,0.0696,0.2637,103,0.1064,0.019,1.4425,397,0.596,0.0971,,,,,579,6.094736842
UNCG,195,,,April,2022,Peromyscus maniculatus ,No ,16.5,169,87,82,Male,adult,No,0.5582,0.8156,37,42,0.1954,0.0263,0.4397,24,34,0.2744,0.0509,0.2414,108,0.1218,0.0206,1.0362,326,0.3847,0.0592,,,,,510,6.219512195
UNCG,196,,,April,2022,Peromyscus maniculatus ,No ,17.75,183,91,92,Female,adult,No,1.0067,0.7429,36,44,0.1698,0.0252,0.4062,26,31,0.3153,0.0659,0.2767,127,0.1496,0.0247,1.3729,403,0.4047,0.0625,,,,,605,6.576086957
UNCG,197,,,April,2022,Peromyscus maniculatus ,Yes,15.5,153,78,75,Male,adult,No,0.5526,1.0285,40,51,0.1391,0.0167,0.333,24,31,0.2196,0.0481,0.245,92,0.1097,0.0193,1.1094,318,0.3467,0.0603,,,,,492,6.56
UNCG,198,,,April,2022,Peromyscus maniculatus ,No ,18.5,175,89,86,Female,adult,Yes,0.6975,0.638,34,43,0.1492,0.0246,0.5392,28,37,0.4025,0.0805,0.2092,92,0.1245,0.0255,1.1849,368,0.3689,0.0562,,,,,540,6.279069767
UNCG,199,,,April,2022,Glaucomys volans ,Yes,63,222,92,130,Female,adult,No,1.9238,1.3111,54,57,0.4208,0.0675,0.7829,27,40,0.4793,0.0895,0.6041,175,0.3151,0.0521,3.2008,610,1.0885,0.1876,,,,,882,6.784615385
UNCG,200,,,May,2022,Mus musculus ,Yes,19.5,164,83,81,Male,adult,Yes,1.1325,0.1556,26,28,0.033,0.0069,0.2085,18,25,0.0763,0.0198,0.1447,64,0.0512,0.0097,0.8137,311,0.2706,0.0671,,,,,428,5.283950617
UNCG,202,,,May,2022,Peromyscus maniculatus ,Yes,20,187,94,93,Female,adult,Yes,,0.4291,29,32,0.1592,0.0304,0.3185,23,30,0.3159,0.0674,0.2812,95,0.1578,0.0289,0.9353,303,0.4515,0.088,,,,,460,4.946236559
UNCG,203,,,May,2022,Peromyscus maniculatus ,Yes,17,185,93,92,Male,adult,Yes,,0.4081,29,30,0.1036,0.018,0.3105,26,30,0.2954,0.061,0.1936,83,0.1125,0.0218,1.1123,260,0.5898,0.1238,,,,,403,4.380434783
